p03_syllable_1_lakagiaisto_hit,la,0.36, ka, 0.45, giais, 0.68, to, 0.41, NA, 0, g, 0.19, [g]
p03_syllable_1_lakaguaisto_hit,la,0.35, ka, 0.45, guais, 0.70, to, 0.29, NA, 0, g, 0.14, [w]
p03_syllable_1_lakakiaisto_hit,la,0.41, ka, 0.52, kiais, 0.81, to, 0.42, NA, 0, k, 0.29, 
p03_syllable_1_lakakuaisto_hit,la,0.31, ka, 0.41, kuais, 0.74, to, 0.35, NA, 0, k, 0.21, 
p03_syllable_1_lakapiaisto_hit,la,0.35, ka, 0.34, piais, 0.71, to, 0.22, NA, 0, p, 0.22, 
p03_syllable_1_lakapuaisto_hit,la,0.36, ka, 0.43, puais, 0.78, to, 0.32, NA, 0, p, 0.23, 
p03_syllable_1_lakatiaisto_hit,la,0.38, ka, 0.45, tiais, 0.80, to, 0.35, NA, 0, t, 0.23, 
p03_syllable_1_lakatuaisto_hit,la,0.41, ka, 0.34, tuais, 0.69, to, 0.28, NA, 0, t, 0.17, 
p03_syllable_1_liamo_hit,lia,0.48, mo, 0.27, NA, 0, NA, 0, NA, 0, l, 0.11, 
p03_syllable_1_lifro_hit,li,0.40, fro, 0.33, NA, 0, NA, 0, NA, 0, l, 0.10, 
p03_syllable_1_lliape_hit,llia,0.48, NA, 0, NA, 0, NA, 0, NA, 0, ll, 0.14, 
p03_syllable_1_manhiala_hit,ma,0.36, nhia, 0.50, la, 0.27, NA, 0, NA, 0, nh, 0.14, 
p03_syllable_1_matio_hit,ma,0.47, tio, 0.26, NA, 0, NA, 0, NA, 0, NA, 0, 
p03_syllable_1_mebochiana_hit,me,0.40, bo, 0.38, chia, 0.58, na, 0.25, NA, 0, ch, 0.20, [S]
p03_syllable_1_nhiape_hit,nhia,0.57, pe, 0.22, NA, 0, NA, 0, NA, 0, nh, 0.14, 
p03_syllable_1_pachialo_hit,pa,0.29, chia, 0.62, lo, 0.24, NA, 0, NA, 0, ch, 0.21, [S]
