participant,exp,task,item,status,TextGridLabel,duration,sex
p03,carrier,2,bella,hit,j,66.67,m
p03,carrier,2,bella,hit,a,101.6,m
p03,carrier,2,belleza,hit,j,61.88,m
p03,carrier,2,belleza,hit,e,86.05,m
p03,carrier,2,bellota,hit,j,72.41,m
p03,carrier,2,bellota,hit,o,90.01,m
p03,carrier,2,billete,hit,j,68.85,m
p03,carrier,2,billete,hit,e,90.16,m
p03,carrier,2,bollito,hit,j,57.95,m
p03,carrier,2,bollito,hit,i,113.76,m
p03,carrier,2,bolsa,hit,o,126.21,m
p03,carrier,2,bulle,hit,j,94.56,m
p03,carrier,2,bulle,hit,e,85.86,m
p03,carrier,2,bullicio,hit,j,48.7,m
p03,carrier,2,bullicio,hit,i,116.24,m
p03,carrier,2,caballero,hit,j,87.34,m
p03,carrier,2,caballero,hit,e,82.77,m
p03,carrier,2,caballito,hit,j,63.29,m
p03,carrier,2,caballito,hit,i,99.21,m
p03,carrier,2,cabello,hit,j,80.39,m
p03,carrier,2,cabello,hit,o,72.2,m
p03,carrier,2,calle,hit,j,49.05,m
p03,carrier,2,calle,hit,e,91.24,m
p03,carrier,2,callejero,hit,j,51.22,m
p03,carrier,2,callejero,hit,e,80.86,m
p03,carrier,2,cebolla,hit,j,43.71,m
p03,carrier,2,cebolla,hit,a,95.71,m
p03,carrier,2,centella,hit,j,65.53,m
p03,carrier,2,centella,hit,a,73.26,m
p03,carrier,2,chillo,hit,j,49.71,m
p03,carrier,2,chillo,hit,o,97.62,m
p03,carrier,2,cholla,hit,j,50.73,m
p03,carrier,2,cholla,hit,a,125.28,m
p03,carrier,2,concha,hit,a,84.45,m
p03,carrier,2,conejo,hit,e,116.45,m
p03,carrier,2,costilla,hit,j,73.65,m
p03,carrier,2,costilla,hit,a,95.61,m
p03,carrier,2,cuchillo,hit,i,118.65,m
p03,carrier,2,dedo,hit,e,156.99,m
p03,carrier,2,descanso,hit,a,136.69,m
p03,carrier,2,dinero,hit,e,112.88,m
p03,carrier,2,dinosaurio,hit,a,86.17,m
p03,carrier,2,dinosaurio,hit,u,89.02,m
p03,carrier,2,edificio,hit,i,102.52,m
p03,carrier,2,ella,hit,j,53.18,m
p03,carrier,2,ella,hit,a,101.52,m
p03,carrier,2,espejo,hit,e,105.56,m
p03,carrier,2,estrella,hit,j,47.4,m
p03,carrier,2,estrella,hit,a,87.23,m
p03,carrier,2,flaco,hit,a,101.64,m
p03,carrier,2,flauta,hit,a,67.97,m
p03,carrier,2,flauta,hit,u,87.4,m
p03,carrier,2,flor,hit,o,163.72,m
p03,carrier,2,fortuna,hit,u,118.66,m
p03,carrier,2,fruta,hit,u,78.87,m
p03,carrier,2,gallina,hit,j,66.4,m
p03,carrier,2,gallina,hit,i,54.9,m
p03,carrier,2,gallo,hit,j,56.56,m
p03,carrier,2,gallo,hit,o,83.87,m
p03,carrier,2,grillo,hit,j,85.4,m
p03,carrier,2,grillo,hit,o,85.92,m
