Filename,TextGridLabel,duration,in_00,f0_00,f1_00,f2_00,f3_00,in_10,f0_10,f1_10,f2_10,f3_10,in_20,f0_20,f1_20,f2_20,f3_20,in_30,f0_30,f1_30,f2_30,f3_30,in_40,f0_40,f1_40,f2_40,f3_40,in_50,f0_50,f1_50,f2_50,f3_50,in_60,f0_60,f1_60,f2_60,f3_60,in_70,f0_70,f1_70,f2_70,f3_70,in_80,f0_80,f1_80,f2_80,f3_80,in_90,f0_90,f1_90,f2_90,f3_90,in_100,f0_100,f1_100,f2_100,f3_100
p04_carrier_2_chillo_hit,o,0.06392674710497492,83.39812737868104,145.7006818906463,425.306573047859,2080.323360132068,2585.2564255698494,83.69215787953219,145.73210590122693,449.5760230958268,1883.3774084736006,2548.5231591985603,83.38926282624557,144.3614161297084,478.4016321926048,1749.5531687635846,2532.1673239929446,82.5899246881156,142.84243150350804,524.8702721353595,1681.7314629726372,2469.963075517662,81.97703467465529,141.4719018875353,551.1845030502736,1588.7955655528144,2449.1339457293316,81.90206902647536,140.635411434556,559.0169414032928,1472.8297058352439,2466.2462092976466,81.92298056714671,139.93535580165513,552.5385228745241,1394.6458779454592,2485.1964984635156,81.5619426494876,138.991982102797,550.6891820443573,1328.6946557627841,2496.7655412960817,80.49345703736364,137.74360195190155,556.9719643237502,1279.033220848503,2496.810708448585,78.6411473244762,136.38321930223472,551.181768821652,1367.926100229473,2433.731852143398,76.53636224348259,136.7044842716476,530.0745686293269,1435.7193594570683,2380.64027841054
p04_carrier_2_cholla_hit,j,0.055005577908525005,80.59685384843445,145.01015468479918,480.8092230633624,2225.425467724335,2742.6802530016203,80.53514258228716,145.07258786511684,468.52050530390375,2229.489578760973,2761.709908668806,80.76730797257208,145.0523986250171,466.0384850851473,2249.3520821576835,2778.8947407723913,81.30983963069417,145.02682256825813,469.23642486545106,2278.364886793137,2795.011065970051,81.8082721434566,144.99919540365616,474.78529526116444,2299.042453394669,2818.443550082777,82.12915307217561,145.05299443680192,480.86697102695507,2317.8309554886237,2843.5341387489666,82.11587759432082,145.15743205107827,495.7113398254954,2310.4372790122598,2830.1349083112295,81.9873140720921,145.69804758393815,512.9859852823763,2292.42212581021,2818.4055006026338,81.92922292342324,146.33533420131863,541.2778825826136,2226.1027746185773,2814.8099647960566,82.1244469531054,147.2336672469769,565.8331681544405,2161.6103562839967,2811.983993766862,82.51407152589961,147.82159373271853,583.7813742252933,2100.3483219193977,2810.5187677213253
p04_carrier_2_cholla_hit,a,0.07376404399543313,82.51407152589961,147.82159373271853,583.7813742252933,2100.3483219193977,2810.5187677213253,83.12228450421179,148.10584828063497,602.535475104698,2031.197088762164,2757.1364933000104,83.48878844283942,147.95629309044196,616.7928736190474,1963.6527869131423,2719.4806611022987,83.29372944742671,147.4819602602264,627.0353466573245,1884.3955667201749,2778.759606742239,82.47565669324102,146.82693589115408,646.8517957803232,1843.0179556882533,2708.022333923883,81.29746335214219,146.19504482083246,669.8931783918553,1803.3284072447686,2704.517467004149,80.11418345525362,145.80139642457848,693.3599589846917,1759.7895150596175,2739.2519746452526,79.10339676849658,145.4741710442039,712.2066714204068,1704.697546514319,2732.305441058225,77.81073474527335,145.25666133416186,752.7673712749153,1684.1845841531417,2744.4775121330276,75.68316745305607,145.3326997930103,776.9096036668495,1658.0615444479436,2709.0128227763976,73.43447342304454,145.66378555186063,784.2986914237814,1635.7812207677257,2609.1789229957067
p04_carrier_2_concha_hit,o,0.08863242304167279,77.5521937714091,131.19204832281918,545.5370331122366,935.0285148519338,3827.0809218277004,81.63020638549254,131.99298549738378,528.8121829765588,940.15219315795,3513.9998587477903,83.46835336224072,132.11821774098837,557.5663769252837,949.3537862965811,3125.7798476550543,83.67122752350333,131.9211874151782,614.6641369416741,985.9546531270358,2987.1827194467382,83.43979917670848,132.11820170810847,674.8385559957042,1040.2779290248093,3110.5964819602773,83.40082556532072,132.66012946866726,710.7983814471964,1083.8587195691414,3250.4420966775865,83.38474250585341,133.2999532441323,737.043557376513,1117.2248469888655,3261.6425701511434,82.96276804244849,134.00941453669319,756.4391291798495,1163.5881676615209,3438.829121991837,82.20560451331369,134.71738908256222,722.8367915694353,1218.0157246597687,2910.423018780383,81.63919475740313,135.31108851032744,681.8074777180308,1254.6865780160235,2755.3840992001233,81.05182164366768,135.74171633857495,689.4622621862997,1270.6400619920307,2748.114905061602
p04_carrier_2_conejo_hit,e,0.08534746448436925,79.63890388082555,121.00009279265404,591.520508745025,2206.3091013763274,2624.0958813093816,80.49382039403646,121.79937207167562,644.8987333731485,2306.326624157835,2747.675852354785,80.83402829950111,122.23198615957547,667.0544140062578,2265.322865882554,2833.567855464477,80.91052244046944,122.51501585757435,671.0261250414603,2317.98074142672,2866.458044521075,81.15376328788557,124.73663363971863,658.5027632022984,2237.7405674596816,3063.7907844588735,81.2779528137703,126.6022055112122,660.1853026755696,2321.6676367315954,2539.8963288193545,81.20480687908321,127.21689163260167,660.3370008832513,2277.0400585917982,2414.057271183172,81.37549542910516,127.81413474939762,677.0457631408631,2290.1043845102517,2494.6196376195676,81.40937832157798,128.53598624080078,681.5652611053295,2223.4972439397184,2446.856628221582,80.19353063304715,128.71879413823126,689.0293866321376,2077.8453221572686,2395.8357433431834,77.33122244728622,128.5031371780816,723.623686053876,1948.8097667074583,2485.559670073722
p04_carrier_2_costilla_hit,j,0.06680498049007422,78.75463768720668,130.70030416054752,390.85952697386347,2411.0259430543224,3055.2013122202507,78.85605505742647,131.0174951791432,394.1651773497568,2403.5380033079405,3164.7611258478946,79.1126402207196,131.4533818754412,400.14310534132443,2388.529131783358,3288.8799800568154,79.4236357841581,131.9639350668802,407.9118448449624,2361.461925236928,3330.944277908331,79.63730170202325,132.26873312237967,419.4656894287283,2341.041256246807,3392.1007756807057,79.69438876432702,132.38037986784522,438.1439810367189,2340.1764147413683,3531.405877413856,79.70995875484236,132.36877744575702,463.0768834505759,2288.847868132396,3437.052694461338,79.99480016300622,132.59798154259053,488.5581822410177,2226.254477412217,3144.715319107953,80.65817430810446,132.9808302403082,512.4593997752501,2162.4358044783285,2548.8018614885173,81.5253641767479,133.47801358005003,530.5715837651418,2052.6495225924364,2302.9542924825214,82.3668125353805,134.0099891607443,545.8983165330665,1911.9315562093057,2267.7776180246797
p04_carrier_2_costilla_hit,a,0.08220022456986875,82.3668125353805,134.0099891607443,545.8983165330665,1911.9315562093057,2267.7776180246797,83.09176009254288,134.3795133574335,560.8875784941018,1693.4645487211826,2552.2622044350214,83.383332408122385,134.18343411845706,577.1728770274349,1603.3257564274056,2597.823011513907,83.44686059952392,133.2536056442018,601.4391934117667,1625.5491119510073,2569.6248774422565,83.54470397359178,131.6071434418666,622.3237072590541,1597.2385736846722,2497.1579039127128,83.70207297771611,129.55660658013701,634.1229359781479,1508.4426944005825,2448.2622004265163,83.74761253203764,127.45015143148724,636.2060416264967,1414.7668233983768,2458.6803981182525,83.48531294350857,125.15175588675513,634.9461468745784,1405.2213890755502,2460.955815928994,82.54065215053022,123.04454068768527,613.4960784023806,1332.8478328905933,2407.953390721618,80.1624892543056,121.72336590651803,601.0591515846837,1373.6098409962008,2426.0117051713846,76.01417188752562,NA,610.0568710516044,1462.6717567962144,2407.4454745028274
p04_carrier_2_coyunda_hit,j,0.06475356819359968,78.120207432501,114.66157785767558,404.0084238334654,1716.5438648259562,2454.2689280934305,77.9836739721941,115.17919859283359,382.42971262449277,1899.9331945376466,2425.8715299039886,77.96289841693714,115.61916512108755,375.8567201277807,1886.4120338291689,2449.489434537176,77.93094696508213,115.98320971197334,365.35286653261676,1879.2931671374483,2471.038182566727,77.88441644299704,116.83138335149128,348.97020690534856,1888.6397010659437,2487.729882472156,77.91917327096046,118.0053667195984,343.76163211639596,1744.2393970541161,2481.8279127487,78.18056572464664,119.74709747132405,343.7584495151727,1632.2769828668904,2481.742535301337,78.5977003589355,121.56382355750733,351.03065264245595,1623.8724687921836,2498.929847390616,79.00234117192944,123.43987271482662,358.7143926251085,1526.085165913908,2465.466971121445,79.26983895817398,125.39796968860084,365.7709930261084,1461.9912160722406,2422.655216113789,79.30191942513927,127.3772628809416,370.62003048022285,1569.0412354293148,2391.285420265307
p04_carrier_2_coyunda_hit,u,0.0932546100498185,79.30191942513927,127.3772628809416,370.62003048022285,1569.0412354293148,2391.285420265307,78.86321292755648,130.41805239452185,389.31592054848005,1481.4166266460547,2472.833926586353,78.28430896505233,133.6646840607679,445.50828102703724,1347.9390510977094,2483.9037492143652,77.96295029468791,135.79442746993362,496.7651168391468,1290.4244468269321,2471.36354846715,78.32310257011953,137.49502369070473,518.9076867412505,1258.3197283785262,2462.9816438520147,78.80766820997961,140.05023723738844,522.4173286965328,1241.3833807741007,2379.2442326105556,78.90700072111503,143.36506349014923,520.2563882693039,1233.3112381598776,2335.58574077001,79.25331688187492,145.90398814736528,523.59292883523506,1231.4988818930083,2376.179238544292,79.90850728065,148.0198935771049,537.0292146419761,1271.6694643677085,2365.9758637647947,80.6392984974714,149.93900536880935,547.598080205096,1307.773855555614,2575.490300248801,81.02600455014846,151.57283472133156,565.4661038275578,1345.6292218082556,3032.421120714987
