prefix,syll1Lab,syll1Dur,syll2Lab,syll2Dur,syll3Lab,syll3Dur,syll4Lab,syll4Dur,syll5Lab,syll5Dur,critOnsetLab,critOnsetDur,labID
p04_syllable_1_falupiro_hit,fa,0.3,lu,0.27,pi,0.46,ro,0.2,NA,0,p,0.17,NA
p04_syllable_1_falutraigo_hit,fa,0.3,lu,0.22,trai,0.59,go,0.25,NA,0,tr,0.18,NA
p04_syllable_1_flauro_hit,flau,0.51,ro,0.19,NA,0,NA,0,NA,0,fl,0.18,NA
p04_syllable_1_lakabiaisto_hit,la,0.26,ka,0.39,biais,0.43,to,0.18,NA,0,b,0.09,NA
p04_syllable_1_lakabuaisto_hit,la,0.28,ka,0.3,buais,0.54,to,0.37,NA,0,b,0.07,[w]
p04_syllable_1_lakadiaisto_hit,la,0.34,ka,0.35,dias,0.65,to,0.3,NA,0,d,0.21,NA
p04_syllable_1_lakaduaisto_hit,la,0.3,ka,0.27,duais,0.59,to,0.32,NA,0,d,0.14,NA
p04_syllable_1_lakafiaisto_hit,la,0.42,ka,0.36,fiais,0.64,to,0.37,NA,0,f,0.18,NA
p04_syllable_1_lakafuaisto_hit,la,0.22,ka,0.3,fuais,0.49,to,0.26,NA,0,f,0.1,NA
p04_syllable_1_lakagiaisto_hit,la,0.38,ka,0.51,giais,0.72,to,0.39,NA,0,g,0.13,NA
p04_syllable_1_lakaguaisto_hit,la,0.25,ka,0.25,guais,0.53,to,0.48,NA,0,g,0.09,[w]
p04_syllable_1_lakakiaisto_hit,la,0.23,ka,0.33,kiais,0.56,to,0.37,NA,0,k,0.08,NA
p04_syllable_1_lakakuaisto_hit,la,0.2,ka,0.32,kuais,0.64,to,0.32,NA,0,k,0.13,NA
p04_syllable_1_lakapiaisto_hit,la,0.39,ka,0.36,piais,0.51,to,0.19,NA,0,p,0.12,NA
p04_syllable_1_lakapuaisto_hit,la,0.24,ka,0.27,puais,0.65,to,0.31,NA,0,p,0.15,NA
p04_syllable_1_lakatiaisto_hit,la,0.36,ka,0.48,kiais,0.48,to,0.19,NA,0,k,0.09,NA
p04_syllable_1_lakatuaisto_hit,la,0.32,ka,0.31,kuais,0.52,to,0.36,NA,0,k,0.09,NA
p04_syllable_1_liamo_hit,lia,0.37,mo,0.22,NA,0,NA,0,NA,0,l,0.08,NA
p04_syllable_1_lifro_hit,li,0.23,fro,0.35,NA,0,NA,0,NA,0,l,0.08,NA
p04_syllable_1_lliape_hit,lia,0.3,pe,0.18,NA,0,NA,0,NA,0,l,0.08,NA
p04_syllable_1_manhiala_hit,ma,0.31,nhia,0.33,la,0.33,NA,0,NA,0,nh,0.13,NA
p04_syllable_1_matio_hit,ma,0.24,tio,0.17,NA,0,NA,0,NA,0,NA,0,poorquality
p04_syllable_1_mebochiana_hit,me,0.4,bo,0.29,chia,0.66,na,0.32,NA,0,ch,0.24,NA
p04_syllable_1_nhiape_hit,nhia,0.3,pe,0.22,NA,0,NA,0,NA,0,nh,0.08,NA
p04_syllable_1_pachialo_hit,pa,0.28,chia,0.5,lo,0.25,NA,0,NA,0,ch,0.18,NA
p04_syllable_1_palufago_hit,pa,0.24,lu,0.39,fa,0.44,go,0.27,NA,0,f,0.16,NA
p04_syllable_1_palufasti_hit,pa,0.26,lu,0.31,fas,0.54,ti,0.23,NA,0,f,0.19,NA
p04_syllable_1_palufauro_hit,pa,0.34,lu,0.35,fau,0.6,ro,0.14,NA,0,f,0.14,NA
p04_syllable_1_palufauto_hit,pa,0.2,lu,0.35,fau,0.41,to,0.23,NA,0,f,0.15,NA
p04_syllable_1_paluguato_hit,pa,0.19,lu,0.43,gua,0.21,NA,0,NA,0,NA,0,error
p04_syllable_1_palumaisto_hit,pa,0.25,lu,0.34,mais,0.51,to,0.17,NA,0,m,0.08,NA
p04_syllable_1_paluparo_hit,pa,0.24,lu,0.31,pa,0.31,ro,0.15,NA,0,p,0.05,NA
p04_syllable_1_palutarlo_hit,pa,0.23,lu,0.3,tar,0.39,lo,0.28,NA,0,t,0.04,NA
p04_syllable_1_palutrauco_hit,pa,0.34,lu,0.35,trau,0.42,co,0.15,NA,0,tr,0.07,NA
p04_syllable_1_payielo_hit,pa,0.31,yie,0.33,lo,0.23,NA,0,NA,0,y,0.08,NA
p04_syllable_1_polafo_hit,po,0.26,la,0.37,fo,0.23,NA,0,NA,0,l,0.1,NA
p04_syllable_1_rausto_hit,raus,0.52,to,0.14,NA,0,NA,0,NA,0,r,0.08,NA
p04_syllable_1_ruyiola_hit,ru,0.24,yio,0.42,la,0.31,NA,0,NA,0,y,0.11,NA
p04_syllable_1_tuliafo_hit,tu,0.23,lia,0.45,fo,0.24,NA,0,NA,0,l,0.07,NA
p05_syllable_1_chiaba_hit,chia,0.54,ba,0.29,NA,0,NA,0,NA,0,ch,0.11,chai
p05_syllable_1_costonhialo_hit,cos,0.35,to,0.28,nhia,0.56,lo,0.32,NA,0,nh,0.27,NA
p05_syllable_1_crobo_hit,cro,0.46,bo,0.31,NA,0,NA,0,NA,0,cr,0.12,NA
p05_syllable_1_falotro_hit,fa,0.17,lo,0.45,tro,0.37,NA,0,NA,0,l,0.14,NA
p05_syllable_1_falubiko_hit,fa,0.23,lu,0.3,bi,0.49,ko,0.39,NA,0,b,0.12,NA
p05_syllable_1_faluduako_hit,fa,0.19,lu,0.33,ba,0.64,ko,0.3,NA,0,d,0.12,error
p05_syllable_1_falufaisto_hit,fa,0.29,lu,0.23,fais,0.67,to,0.36,NA,0,f,0.2,NA
p05_syllable_1_falupiro_hit,fa,0.25,lu,0.3,pi,0.69,ro,0.26,NA,0,p,0.19,NA
p05_syllable_1_falutraigo_hit,fa,0.27,lu,0.29,trai,0.58,go,0.39,NA,0,tr,0.23,NA
p05_syllable_1_flauro_hit,fa,0.32,lu,0.57,ro,0.22,NA,0,NA,0,NA,0,error
p05_syllable_1_lakabiaisto_hit,la,0.33,ka,0.45,bi,0.45,ais,0.48,to,0.22,b,0.12,extra
p05_syllable_1_lakabuaisto_hit,la,0.3,ka,0.41,buais,0.76,to,0.23,NA,0,b,0.13,NA
p05_syllable_1_lakadiaisto_hit,la,0.31,ka,0.43,di,0.33,ais,0.56,to,0.22,d,0.1,extra
p05_syllable_1_lakaduaisto_hit,la,0.25,ka,0.28,dais,0.7,to,0.27,NA,0,d,0.15,error
p05_syllable_1_lakafiaisto_hit,la,0.3,ka,0.39,fi,0.44,ais,0.51,to,0.22,f,0.1,extra
p05_syllable_1_lakafuaisto_hit,la,0.28,ka,0.22,fais,0.73,to,0.27,NA,0,f,0.15,error
p05_syllable_1_lakagiaisto_hit,la,0.26,ka,0.3,ki,0.24,ais,0.51,to,0.22,k,0.12,extra
p05_syllable_1_lakaguaisto_hit,la,0.27,ka,0.24,gais,0.58,NA,0.26,NA,0,g,0.1,error
p05_syllable_1_lakakiaisto_hit,la,0.29,ka,0.37,ki,0.27,ais,0.58,to,0.26,k,0.17,extra
p05_syllable_1_lakakuaisto_hit,la,0.35,ka,0.31,kais,0.62,to,0.29,NA,0,NA,0,error
p05_syllable_1_lakapiaisto_hit,la,0.42,ka,0.42,pais,0.98,to,0.27,NA,0,p,0.13,error
p05_syllable_1_lakapuaisto_hit,la,0.28,ka,0.72,pais,0.7,to,0.25,NA,0,p,0.02,error
p05_syllable_1_lakatiaisto_hit,la,0.32,ka,0.38,ti,0.27,ais,0.63,to,0.23,t,0.04,extra
p05_syllable_1_lakatuaisto_hit,la,0.36,ka,0.34,tais,0.65,to,0.29,NA,0,t,0.1,error
p05_syllable_1_liamo_hit,li,0.27,a,0.29,mo,0.34,NA,0,NA,0,l,0.07,NA
p05_syllable_1_lifro_hit,li,0.34,fro,0.39,NA,0,NA,0,NA,0,l,0.1,NA
p05_syllable_1_lliape_hit,liai,0.53,pe,0.26,NA,0,NA,0,NA,0,ll,0.1,NA
p05_syllable_1_manhiala_hit,ma,0.2,nhia,0.6,la,0.36,NA,0,NA,0,nh,0.26,NA
p05_syllable_1_matio_hit,ma,0.37,tio,0.46,NA,0,NA,0,NA,0,m,0.08,NA
p05_syllable_1_mebochiana_hit,me,0.3,cho,0.29,chai,0.52,na,0.24,NA,0,NA,0,wayoff
p05_syllable_1_nhiape_hit,nhia,0.48,pe,0.32,NA,0,NA,0,NA,0,nh,0.16,NA
p05_syllable_1_pachialo_hit,pan,0.3,chia,0.54,lo,0.43,NA,0,NA,0,ch,0.15,NA
p05_syllable_1_palufago_hit,pa,0.27,lu,0.22,fa,0.61,go,0.35,NA,0,f,0.21,NA
p05_syllable_1_palufasti_hit,pa,0.26,lu,0.29,fas,0.67,ti,0.3,NA,0,f,0.21,NA
p05_syllable_1_palufauro_hit,pa,0.25,lu,0.3,fau,0.6,ro,0.25,NA,0,f,0.19,NA
p05_syllable_1_palufauto_hit,pa,0.38,lu,0.42,fau,0.49,to,0.35,NA,0,f,0.16,NA
p05_syllable_1_paluguato_hit,pa,0.26,lu,0.41,gau,0.67,to,0.29,NA,0,g,0.18,NA
p05_syllable_1_palumaisto_hit,pa,0.25,lu,0.33,mais,0.81,to,0.27,NA,0,m,0.17,NA
p05_syllable_1_paluparo_hit,pa,0.21,lu,0.35,pa,0.6,ro,0.27,NA,0,p,0.25,NA
p05_syllable_1_palutarlo_hit,pa,0.21,lu,0.34,tar,0.5,lo,0.38,NA,0,t,0.16,NA
p05_syllable_1_palutrauco_hit,pa,0.26,lu,0.4,trai,0.73,co,0.32,NA,0,p,0.14,NA
p05_syllable_1_payielo_hit,pai,0.23,yu,0.21,we,0.33,lo,0.26,NA,0,y,0.07,extra
p05_syllable_1_polafo_hit,po,0.19,lo,0.28,fo,0.42,NA,0,NA,0,l,0.13,NA
p05_syllable_1_rausto_hit,raus,0.59,to,0.27,NA,0,NA,0,NA,0,r,0.07,NA
p05_syllable_1_ruyiola_hit,ru,0.27,yio,0.57,la,0.35,NA,0,NA,0,y,0.14,NA
p05_syllable_1_tuliafo_hit,tu,0.24,lai,0.52,fo,0.3,NA,0,NA,0,l,0.15,NA
p06_syllable_1_chiaba_hit,chi,0.46,a,0.5,ba,0.4,NA,0,NA,0,ch,0.29,extra
p06_syllable_1_costonhialo_hit,cos,0.82,to,0.76,nhia,0.78,lo,0.46,NA,0,nh,0.27,NA
p06_syllable_1_crobo_hit,cro,0.71,bo,0.5,NA,0,NA,0,NA,0,cr,0.18,NA
p06_syllable_1_falotro_hit,fa,0.35,lo,0.7,tro,0.35,NA,0,NA,0,l,0.2,NA
p06_syllable_1_falubiko_hit,fa,0.49,lu,0.57,bi,0.49,ko,0.28,NA,0,b,0.12,NA
p06_syllable_1_faluduako_hit,fa,0.82,lu,0.6,dua,0.9,ko,0.32,NA,0,d,0.15,NA
p06_syllable_1_falufaisto_hit,fa,0.63,lu,0.52,fa,0.66,is,0.47,to,0.33,f,0.17,extra
p06_syllable_1_falupiro_hit,fa,0.57,lu,0.59,pi,0.57,ro,0.38,NA,0,p,0.13,NA
p06_syllable_1_falutraigo_hit,fa,0.73,lu,0.7,tra,0.85,i,0.44,go,0.34,tr,0.13,extra
p06_syllable_1_flauro_hit,fla,0.8,u,0.42,ro,0.22,NA,0,NA,0,NA,0,extra
p06_syllable_1_lakabiaisto_hit,la,0.7,ka,0.6,bia,0.87,is,0.48,to,0.27,b,0.28,extra
p06_syllable_1_lakabuaisto_hit,la,0.66,ka,0.65,bu,0.68,a,0.5,is,0.63,NA,0,extra
p06_syllable_1_lakadiaisto_hit,la,0.61,ka,0.61,dia,0.65,is,0.44,to,0.28,d,0.22,extra
p06_syllable_1_lakaduaisto_hit,la,0.58,ka,0.5,du,0.62,a,0.41,is,0.42,NA,0,extra
p06_syllable_1_lakafiaisto_hit,la,0.76,ka,0.71,fia,0.73,is,0.52,to,0.3,f,0.19,extra
p06_syllable_1_lakafuaisto_hit,la,0.58,ka,0.45,fu,0.86,a,0.57,is,0.66,NA,0,extra
