Filename,TextGridLabel,duration,in_00,f0_00,f1_00,f2_00,f3_00,in_10,f0_10,f1_10,f2_10,f3_10,in_20,f0_20,f1_20,f2_20,f3_20,in_30,f0_30,f1_30,f2_30,f3_30,in_40,f0_40,f1_40,f2_40,f3_40,in_50,f0_50,f1_50,f2_50,f3_50,in_60,f0_60,f1_60,f2_60,f3_60,in_70,f0_70,f1_70,f2_70,f3_70,in_80,f0_80,f1_80,f2_80,f3_80,in_90,f0_90,f1_90,f2_90,f3_90,in_100,f0_100,f1_100,f2_100,f3_100
p08_carrier_1_chiaba_hit,i,0.15550742585538524,72.09180515500968,252.89446091829043,376.41863254375806,2656.7330417858416,3477.7216486458315,74.64895452966046,243.74042616770606,174.4818436287043,2721.188268646829,3370.728607242613,74.36965713017686,239.6291051568503,328.31083089795413,2818.1107587731776,3440.595220552884,73.6768351570302,235.68018694977118,2745.962238762241,3464.038365994732,4132.616767462928,73.42647130662156,230.92378343163563,2384.138583329296,3384.082084692738,4002.9407847564235,73.40032882003365,227.89930568436571,329.6738895074212,2764.28207702703,3472.1556971471573,72.67078486158155,226.79690101861485,172.11349353017596,2786.3047172649003,3484.992162828885,73.20678750887224,226.97386309348587,368.86295070458146,2715.3426906128943,3373.5140045112485,74.48947314969193,226.83655818660836,435.86779685622633,2562.906497116071,3312.598387122897,75.98857143556387,224.23927249751864,481.9858118403968,2389.6444564743424,3256.543432771725,76.21770511416737,218.28896038338578,626.2580500628985,2171.696155969955,3070.1399010877053
p08_carrier_1_chiaba_hit,a,0.15829229152432034,76.21770511416737,218.28896038338578,626.2580500628985,2171.696155969955,3070.1399010877053,78.43908257970814,213.24951413599206,755.5200337512025,2048.2622288662665,3004.3768188454706,81.26282647557571,209.31582836286285,865.9649161597902,1935.2668410001643,2936.0291855140267,83.48037052043591,209.0264694630699,879.8855885560913,1833.2855403641647,2735.411441345853,83.1131404250357,209.6791391264043,904.3652914899875,1756.9467456737789,2552.336190003525,82.62073243642034,209.6095208353514,954.8002133566208,1730.7531954394447,2543.0788776737727,82.36453474433937,208.90907656032104,966.5129430700698,1706.9260172730278,2567.00349628302,82.65440490636573,209.26432728240007,963.1026087571211,1682.8114302004583,2644.5133536220737,82.48273891224765,210.22948480739714,918.7907048732008,1689.5008123375655,2675.98448624085,81.1631496340155,211.12983746121813,880.7460655749545,1693.6565459348321,2699.754997229456,78.43209900065014,211.50209375545313,900.3359907957754,1530.1006652758613,2643.507238953582
p08_carrier_1_costonhialo_hit,i,0.06802855751256853,71.71575187052794,223.70105294202105,1624.6417945986718,2969.1053066996974,3749.027577373128,72.06275122859061,223.33011004176103,1830.4561625782324,2994.738731274215,3694.986573133002,72.38767042582681,222.97339883489624,850.0533616380685,2299.858365811577,3252.2089831974067,72.6030515901023,222.8270691416912,370.1954640280561,2024.3357548108872,3026.694033362579,72.83006809725262,222.84644061079155,538.9626197103534,2272.6407040771605,3073.7155103557407,73.15433909551058,222.94082108861974,599.7128877787989,2319.9357206686045,3153.1325593508477,73.55714912617475,223.07773276333188,659.3666394665892,2300.0050579779195,3179.6358166770497,74.1535488645344,223.23632915518687,717.0350354239789,2218.4233028988074,3159.611378499645,74.96777561581972,223.33049232077897,758.9187091859291,2103.850349038595,3144.715838360671,75.95753942481036,223.27950724253964,813.434186080438,2029.6534444573924,3125.849170313073,77.28099849901248,223.18511555986217,872.2618279243123,1980.1872437454178,3107.2779167886706
p08_carrier_1_costonhialo_hit,a,0.09657982872632909,77.28099849901248,223.18511555986217,872.2618279243123,1980.1872437454178,3107.2779167886706,80.06488657929003,223.24891844805498,908.1967064284331,1878.2113801614714,3112.344661490304,82.74212953050987,223.73253814606696,916.6138037846252,1819.9638844440465,3113.0073182138913,84.26941884020124,224.62685569291924,930.6128007723421,1787.2505719075423,3065.5716337862286,84.65590360481883,225.99324371217006,953.3841166827581,1764.4913255584765,2961.7432922440275,84.11923887083212,228.40715760416427,969.0813423583918,1665.2221406676033,2728.9056200842065,83.00620025032283,232.27893806312167,1004.2448047401787,1667.3105904848169,2729.080985761875,81.97633299201841,236.97296962313166,997.6525372702126,1687.7533798485047,2677.0402900342483,80.63949264204061,242.21619926941298,975.9838707859504,1723.5800320688259,2832.889838743936,78.92500165780679,251.40778048767552,977.2587981589976,1765.6084064762388,2711.8208029822335,78.68811931660484,265.72646431696097,955.7031219612245,1723.7914940459402,2604.0119469363467
p08_carrier_1_crobo_hit,o,0.10738217340064415,79.46840731517464,227.31073344976232,763.3601383903158,1302.0751261753353,2872.221212472227,80.05325033912614,228.7997450858349,731.3749829498645,1128.7548676641302,2962.03877167343,80.33721781061462,229.84066198095343,708.4876203201267,1085.8172861082112,2907.7424526576024,80.39054245728364,231.09428885236605,856.1789867345369,932.9105955876089,2961.2741884564907,79.89416446314253,233.15998137993904,776.2037088734608,1052.492856262284,2889.1371060427305,79.5345653322792,236.79979022377077,784.6619434496566,1089.9948367374568,2872.3766399540805,80.2175545530827,241.44125512428468,745.4106466169171,1027.1674137802663,2892.8703269009025,81.39480904760295,246.08760057450652,681.5750210905084,1037.3518712791124,2922.4543686262227,82.51218281177806,250.0929171138204,618.1224914746319,1028.435017766998,2944.903057175333,82.88020159729857,253.20366843655023,564.9876372585968,1061.5869072655973,2956.679666566311,80.26256949459645,256.13745725751,648.3540545018075,1031.6387079141025,3002.7272309858445
p08_carrier_1_falubiko_hit,i,0.12192461466065252,76.36694197872693,233.9176477348177,260.1351171240382,2351.267937269857,2837.471295466653,77.59777799315408,233.19129793646513,259.34787009230837,2765.149788454035,2816.963611253917,77.90886607986452,233.56719864107336,247.51149016820395,2789.149523946765,3067.311204895229,77.66232060768147,233.57596976606004,248.59487318851723,2769.640795857541,3161.872132444327,76.29371071986895,233.56578133197124,271.7873346317927,2806.181565163186,3157.4974442881276,75.48547530675256,234.52731144709355,289.2774134490114,2767.6601361299386,3269.8722621840193,75.10826722514236,235.11820354729429,308.463859774227,2754.4369976517,3266.1187282531814,73.71477197685134,235.26027131087898,300.8265515905228,2828.9936699793957,3255.008916303168,71.97303717623781,234.79175462864424,260.6594479763637,2820.4710968963823,3140.5735797196603,70.1051901073988,234.29044745030546,272.44121648177384,2768.449848573546,3342.2406070491106,67.48978395046855,234.3678054828406,152.69465441018573,2874.0414027099728,3480.630320301568
p08_carrier_1_faluduako_hit,u,0.11567696190603804,68.47836349634643,233.1017805083147,577.9500862254471,3069.6651004525806,3903.415647808639,73.17190992969017,233.3602056488229,467.256902735661,1490.3387635025822,3583.6888281435117,74.15815589911442,233.528770881329,460.5640812835584,1098.8370631188113,3454.993647847834,74.38408292800817,232.0812849716218,467.24861104244985,1080.485088278014,3515.1084974966625,76.0147547053902,231.39075433107985,466.4168843861906,1002.6158723450808,3626.4724659234944,77.83132469227752,232.17899362406078,469.6388400628255,954.9484696970139,3565.006782926296,78.32924941663074,231.34960459303247,475.7067259528357,935.0546626765267,3479.8327685735912,76.93474128461675,228.08428186416845,544.2175104607319,952.2762105693973,3514.699621745754,78.08723243527221,226.10926378297023,663.9181138171982,1129.0740296936508,3082.7746849851346,80.36464965904459,224.53415167812088,778.7202098042143,1303.523199841924,2905.0686896279026,82.14643477885224,221.5399054761417,877.3204347643704,1403.2005767176315,2836.725872601251
p08_carrier_1_faluduako_hit,a,0.14316090076833632,82.14643477885224,221.5399054761417,877.3204347643704,1403.2005767176315,2836.725872601251,82.77775318908888,210.42293171931345,894.205256769625,1613.331746026149,2786.094766535734,82.88098970602464,207.6760187868182,933.3015028384364,1619.234331171365,2788.691658198741,82.43937855091393,208.96866597238784,932.0829894233237,1669.0738429751639,2643.1306995273626,83.86491905716265,209.64625333564285,917.7018565600982,1674.8746456663641,2639.6255258819383,84.34980621050597,211.15281527215666,879.7326515868463,1697.2791090920337,2730.844480253848,82.11276907258551,212.9518524918073,866.2325847707194,1651.3618605182635,2748.892381109154,79.14344392320493,214.4772105004549,803.135757352316,1617.826908873585,2836.5445509924944,77.92340540814317,216.33483899839584,789.1601927898027,1548.5915122076246,2688.8890378159163,77.21535635608588,215.7269403729572,840.3061188404928,1506.2813735498014,2642.2307302384834,72.60406398788419,214.89830932936138,875.4664943664618,1565.8328115005907,2712.8709240904222
p08_carrier_1_falufialo_hit,i,0.12071489351502329,73.34301155346661,243.56315314595741,293.559893875975,2713.862138927396,3127.011384863079,75.25575001939936,237.99953036353858,295.3925210560128,2721.6233660607186,3181.659227809111,74.83035972891147,236.07085888410703,314.6010013969988,2699.85628192051,3189.4378436311304,73.79386147866677,231.73347130339877,327.49034042633974,2755.524199374919,3292.118271567797,74.27474978016242,228.67728807405948,371.8817979530062,2760.7296996958567,3300.0684511222507,74.98068733475374,229.1052515764317,394.7461260388097,2746.5038778360795,3341.0538883542904,76.25224958869948,230.01844536677467,407.4628436608597,2741.7140037496492,3338.8913606939395,77.07835897239593,230.14235916049208,457.3100138187544,2709.169525334431,3244.5548636748936,78.74781587517685,230.3261375084875,476.0264451831367,2612.659166004273,3172.3870709672387,78.87199772534122,229.5283621429597,506.6103297596776,2283.0688156211254,3110.3751746485814,78.14828204426983,224.58142443823735,650.5580010543696,1891.4334485024553,3107.0235510494963
p08_carrier_1_falufialo_hit,a,0.16245442037999203,78.14828204426983,224.58142443823735,650.5580010543696,1891.4334485024553,3107.0235510494963,79.84513698833733,220.19232103515216,765.4006966892206,1797.3313262659096,2950.5783737554198,79.30213765092843,216.9466187678218,825.4666597992814,1862.218305956376,2578.6236081772054,80.45907392839653,215.84696729737092,847.9825554621221,1979.509530432229,2655.46869053226,81.85907768052395,215.19162436299467,873.9088518767571,1876.8723419731352,2438.2167910931507,83.52089218752624,215.41027016717868,876.8623770169995,1779.6884529779713,2602.6906910207435,83.23021037178124,216.89188055200412,892.8467729594665,1789.936758638143,2731.178712550412,81.96624741817801,217.30069477166904,895.5324552445255,1752.476144621075,2605.235259472196,80.52083572752521,217.66774191368884,893.0544434395024,1841.9046649674249,2790.8837524222267,79.82815453567568,218.25241050731555,955.6475691493519,1809.348772743793,2706.4939442346604,78.62248098318406,219.1982264941769,1000.4669767959617,1772.7662763658548,2857.2597921780134
